transaction_id,device_id,device_type,ip_address,is_new_device_for_customer
TXN100000,DEV-VKAP6ZPX,Tablet,1.65.194.105,0
TXN100001,DEV-1GA6SRG1,Desktop Browser,25.237.221.114,0
TXN100002,DEV-GDILK1QY,iPhone,147.173.40.83,0
TXN100003,DEV-124VF89X,Tablet,200.186.69.59,0
TXN100004,DEV-7BOXFQJ3,iPhone,54.170.184.66,0
TXN100005,DEV-LRZQ8BXY,Tablet,64.72.253.156,0
TXN100006,DEV-DXJN7DE0,Desktop Browser,251.199.188.106,0
TXN100007,DEV-VUUPLTXU,Desktop Browser,177.6.36.198,0
TXN100008,DEV-8N10HLIN,iPhone,174.249.181.67,0
TXN100009,DEV-2T24D7V9,Android Phone,197.176.111.210,0
TXN100010,DEV-Q50XCXMS,Tablet,228.6.103.148,0
TXN100011,DEV-8LLIHKPJ,iPhone,198.91.7.36,0
TXN100012,DEV-4NP00NQO,iPhone,198.98.152.209,0
TXN100013,DEV-8SUSFH70,Desktop Browser,192.82.107.49,0
TXN100014,DEV-2MJEQA2O,Android Phone,91.93.243.80,0
TXN100015,DEV-B4GASFQB,iPhone,222.190.170.76,0
TXN100016,DEV-3PGSF3YN,Android Phone,202.42.8.128,0
TXN100017,DEV-10GDMIPC,Tablet,119.252.107.220,0
TXN100018,DEV-WIJ0KZQV,Desktop Browser,195.231.34.84,0
TXN100019,DEV-4IOAR4G5,Tablet,116.55.117.160,0
TXN100020,DEV-EK17M6J3,Tablet,198.141.117.170,0
TXN100021,DEV-TK5LP9C5,iPhone,102.210.241.227,0
TXN100022,DEV-4HA0MVF4,Android Phone,205.137.93.139,0
TXN100023,DEV-NDFWW41F,Tablet,220.52.72.13,0
TXN100024,DEV-VC1FRF89,iPhone,101.202.41.166,0
TXN100025,DEV-JLWSS1VI,Tablet,77.211.32.139,0
TXN100026,DEV-C96MJ9N6,Android Phone,161.120.110.150,0
TXN100027,DEV-PW5K0JJS,Tablet,171.215.65.252,0
TXN100028,DEV-AZRVHPJ9,Tablet,144.156.215.145,0
TXN100029,DEV-BD4XDD8I,Tablet,209.101.184.191,0
TXN100030,DEV-WLKOBQ6M,Desktop Browser,91.250.248.64,0
TXN100031,DEV-2LZW1FU5,Desktop Browser,190.103.193.90,0
TXN100032,DEV-LRGNJZM3,Desktop Browser,194.41.246.44,0
TXN100033,DEV-Z6X4FMME,Tablet,27.217.245.189,0
TXN100034,DEV-LI3IF9AI,iPhone,63.225.58.113,0
TXN100035,DEV-AIAW4OTU,Tablet,48.218.133.149,0
TXN100036,DEV-0Z92JN67,Desktop Browser,139.92.20.246,0
TXN100037,DEV-APNU02WP,Desktop Browser,28.20.63.42,0
TXN100038,DEV-BXPQ5BO2,Tablet,172.233.7.56,0
TXN100039,DEV-UBWRP8GU,Android Phone,230.89.123.223,0
TXN100040,DEV-HQTYLU58,iPhone,197.139.251.175,0
TXN100041,DEV-9194B70L,Android Phone,243.104.147.180,0
TXN100042,DEV-NR4GLGPJ,Android Phone,48.67.103.52,0
TXN100043,DEV-ANA6U48G,Tablet,47.138.56.250,0
TXN100044,DEV-56VU6Z5G,iPhone,209.210.114.8,0
TXN100045,DEV-3LKMGS6R,iPhone,157.236.87.241,0
TXN100046,DEV-9R4X1V4D,Desktop Browser,234.135.145.148,0
TXN100047,DEV-1ID9VVN5,Tablet,215.180.247.111,0
TXN100048,DEV-LQH7PPCA,Android Phone,83.144.124.157,0
TXN100049,DEV-0TBKG8B3,Tablet,190.131.135.218,0
TXN100050,DEV-7HY7AI33,iPhone,253.100.212.59,0
TXN100051,DEV-0JYOOK63,Tablet,65.154.3.161,0
