transaction_id,customer_id,amount_inr,merchant,city,hour,is_odd_hour,is_foreign_city,is_high_risk_merchant,device_type,is_new_device_for_customer,is_fraud
TXN100000,CUST1296,2453.71,Local Kirana Store,Gurgaon,2,1,0,0,Tablet,0,0
TXN100001,CUST1212,3337.34,Electricity Board,Delhi,17,0,0,0,Desktop Browser,0,0
TXN100002,CUST1256,5572.77,PayU Recharge,Gurgaon,5,0,0,0,iPhone,0,0
TXN100003,CUST1151,2855.57,Swiggy,Bangalore,3,1,0,0,Tablet,0,0
TXN100004,CUST1115,1678.56,Cash Withdrawal ATM,Delhi,21,0,0,0,iPhone,0,0
TXN100005,CUST1285,1606.89,Flipkart,Bangalore,12,0,0,0,Tablet,0,0
TXN100006,CUST1232,2635.48,Ola,Kolkata,21,0,0,0,Desktop Browser,0,0
TXN100007,CUST1190,2592.87,Electricity Board,Chennai,15,0,0,0,Desktop Browser,0,0
TXN100008,CUST1167,2572.83,PayU Recharge,Kolkata,20,0,0,0,iPhone,0,0
TXN100009,CUST1154,4902.83,BigBasket,Kolkata,4,1,0,0,Android Phone,0,0
TXN100010,CUST1252,4197.96,Myntra,Delhi,17,0,0,0,Tablet,0,0
TXN100011,CUST1276,2941.23,Ola,Mumbai,23,0,0,0,iPhone,0,0
TXN100012,CUST1050,1187.96,Myntra,Mumbai,13,0,0,0,iPhone,0,0
TXN100013,CUST1111,1747.8,Ola,Gurgaon,7,0,0,0,Desktop Browser,0,0
TXN100014,CUST1188,1656.43,BigBasket,Kolkata,20,0,0,0,Android Phone,0,0
TXN100015,CUST1097,5487.11,Ola,Hyderabad,14,0,0,0,iPhone,0,0
TXN100016,CUST1010,14264.97,Unknown Merchant Ltd,Lagos,7,0,1,1,Android Phone,0,1
TXN100017,CUST1110,1984.11,Uber,Hyderabad,10,0,0,0,Tablet,0,0
TXN100018,CUST1001,3503.3,Swiggy,Mumbai,4,1,0,0,Desktop Browser,0,0
TXN100019,CUST1056,4185.65,Cash Withdrawal ATM,Bangalore,4,1,0,0,Tablet,0,0
TXN100020,CUST1121,1002.05,Local Kirana Store,Jaipur,5,0,0,0,Tablet,0,0
TXN100021,CUST1215,850.6,Myntra,Pune,2,1,0,0,iPhone,0,0
TXN100022,CUST1262,4375.27,Amazon,Hyderabad,16,0,0,0,Android Phone,0,0
TXN100023,CUST1266,4979.8,IRCTC,Hyderabad,0,1,0,0,Tablet,0,0
TXN100024,CUST1218,2486.29,Flipkart,Hyderabad,22,0,0,0,iPhone,0,0
TXN100025,CUST1164,1897.85,Uber,Hyderabad,4,1,0,0,Tablet,0,0
TXN100026,CUST1280,2069.12,Electricity Board,Delhi,19,0,0,0,Android Phone,0,0
TXN100027,CUST1220,2196.26,Cash Withdrawal ATM,Mumbai,3,1,0,0,Tablet,0,0
TXN100028,CUST1282,6712.81,IRCTC,Kolkata,13,0,0,0,Tablet,0,0
TXN100029,CUST1173,1368.1,IRCTC,Hyderabad,13,0,0,0,Tablet,0,0
TXN100030,CUST1160,4202.07,Flipkart,Kolkata,4,1,0,0,Desktop Browser,0,0
TXN100031,CUST1046,2950.92,Myntra,Bangalore,13,0,0,0,Desktop Browser,0,0
TXN100032,CUST1066,265.49,Flipkart,Jaipur,17,0,0,0,Desktop Browser,0,0
TXN100033,CUST1210,6940.47,Amazon,Delhi,13,0,0,0,Tablet,0,0
TXN100034,CUST1147,2467.15,Swiggy,Gurgaon,3,1,0,0,iPhone,0,0
TXN100035,CUST1246,4208.16,Flipkart,Jaipur,11,0,0,0,Tablet,0,0
TXN100036,CUST1142,4828.45,Cash Withdrawal ATM,Hyderabad,13,0,0,0,Desktop Browser,0,0
TXN100037,CUST1285,11422.89,Foreign Exchange Kiosk,Bangalore,3,1,0,1,Desktop Browser,0,1
TXN100038,CUST1173,2660.74,Flipkart,Hyderabad,4,1,0,0,Tablet,0,0
TXN100039,CUST1072,2471.04,Zomato,Pune,0,1,0,0,Android Phone,0,0
TXN100040,CUST1192,731.29,Myntra,Gurgaon,5,0,0,0,iPhone,0,0
TXN100041,CUST1290,2591.51,Uber,Pune,1,1,0,0,Android Phone,0,0
